basin,tier,log_resid_var,signed_coverage_error
06853800,semi_arid,2.9128942489624023,-0.10770584783884218
06876700,semi_arid,0.8055574893951416,-0.22466262468218268
06878000,semi_arid,0.4612102508544922,0.05540778407979674
06879650,semi_arid,8.458311080932617,-0.4632700958341483
06885500,semi_arid,3.386425495147705,-0.020281635047917135
06888500,semi_arid,1.1381210088729858,0.03565421474672392
06889200,semi_arid,3.4860944747924805,-0.10105613142968906
06889500,semi_arid,2.8660855293273926,-0.10379424995110509
06892000,humid,1.923784136772156,-0.05861529434774104
06903400,humid,1.266089916229248,-0.3709563856835517
06906800,humid,0.7075552344322205,-0.4311949931547037
06910800,semi_arid,5.00792121887207,-0.24011343633874438
06911900,semi_arid,6.475889682769775,-0.2313562672993278
06917000,humid,0.7707906365394592,-0.4274789751613534
06918460,humid,0.201742023229599,0.08024643066692738
06919500,humid,0.6416062116622925,-0.4810276679841897
06921070,humid,0.5310842394828796,-0.22642284373166444
06921200,humid,1.252789855003357,-0.3987287306864854
06934000,humid,0.1177811399102211,0.09647956190103657
07014500,humid,0.0941500291228294,0.09550166242910241
07056000,humid,0.246941864490509,0.032133776647760626
07057500,humid,0.1417631655931472,0.09354586348523375
07060710,humid,0.4612811803817749,-0.4235673772736163
07066000,humid,0.1144224107265472,0.09745746137297073
07067000,humid,0.0936472788453102,0.09647956190103657
07068000,humid,0.1023457497358322,0.0992176804224526
07071500,humid,0.0908089652657508,0.09765304126735774
07083000,snow,0.2036287486553192,0.0996088402112264
07142300,dry,2.9561069011688232,-0.11944064150205358
07145700,semi_arid,12.299208641052246,-0.20295325640524153
07148400,dry,0.3019099831581116,-0.022237433991785682
07149000,dry,0.1992634981870651,0.05579894386857043
07151500,semi_arid,0.4955041110515594,0.04220219435736683
07167500,humid,12.875892639160156,-0.2045178955603364
07180500,semi_arid,7.42657995223999,-0.10985722667709763
07184000,humid,1.9950952529907229,-0.34983375708977116
07195800,humid,0.2370245903730392,0.051105026403285736
07196900,humid,2.525334596633911,-0.10496772931742615
07197000,humid,0.297786146402359,0.01570506551926476
07208500,dry,0.2604283392429352,0.07868179151183241
07226500,dry,1.3503931760787964,0.0344227047946678
07261000,humid,3.798873662948608,-0.10770584783884218
07263295,humid,1.3681303262710571,-0.39325249364365344
07290650,humid,6.876384735107422,-0.03698233420214314
07291000,humid,0.383054256439209,0.0485624877762566
07292500,humid,1.2986714839935305,0.014336006258556577
07295000,humid,0.3437537848949432,0.053020134228187965
07299670,dry,0.5360495448112488,0.014531586152943587
07301410,dry,0.2498888224363327,0.02020340309016233
07301500,dry,0.6940771341323853,-0.07523958537062392
07315200,dry,1.412021517753601,-0.6344025034226481
07315700,semi_arid,0.7929474115371704,-0.5139252884803442
