tier,mean_width,mean_log_width
humid,2.095471016452104,1.2790410824071958
humid,708695.0734948321,4.478555923405398
humid,2.7650112444911943,1.6458320099151509
humid,2.3122221582975144,1.3836450094544
humid,4.863747171802621,2.175021607256113
humid,190959.5903685378,3.8105388983294337
humid,2.477251878397679,1.4683166961485268
humid,1.7975746358581048,1.234341660626313
humid,1.627348120213021,1.4478634625947244
humid,3.0942059292582043,2.1504927578677457
humid,3.260323357948137,1.8022406682001968
humid,2.317606530027126,1.6634290119031625
humid,4.78289749538178,2.184683120905852
humid,2.1884707730680955,1.168691739058182
humid,2.673527149964797,1.3786873731761442
humid,7.885349501771701,2.909663234628065
humid,3.3247677952768098,1.5969003869576532
humid,2.8208128992820027,1.5147241277282495
humid,2.9312878022735047,1.3256114406313375
humid,2.671111558599526,1.2429849473366457
humid,4.321703607627039,1.684164456628247
humid,3.436864086417869,1.6085819404185366
humid,2.7118565349388084,1.303177383555467
humid,4.012173008363867,1.9103563532725767
humid,4.416972705929722,2.616150089049792
humid,5.781823073501508,2.261729398780188
humid,4.550357510208762,1.4849761600470672
humid,3.2010231875186803,1.2129487859168897
humid,4.083053992847451,1.74328254707707
humid,1504321.5105296338,1.7968375591203096
humid,3217708.4587920182,1.9797018745186603
humid,2.5316424123926824,1.852494228476068
humid,1.7286425639212033,1.3707174986000517
humid,5.126793251804018,2.896242288071513
humid,1.2475000913889702,0.661976449974078
humid,1.3545960522976823,0.76797648875559
humid,1.778723614065586,0.9491293617897064
humid,1.4850021657436858,1.0402463481730733
humid,1.6229622078968042,1.297713021697677
humid,1232634.8619750668,1.7602390657325573
humid,2.6670589177370294,1.454429101639839
humid,6.065582870941717,1.9297190087623683
humid,5.279820578487852,1.7841912365697454
humid,1.8504305197826068,1.3816749464795492
humid,13.332168549876284,4.45448320485038
humid,6.314635697317268,3.2522193025801247
humid,785963.6368180612,6.226565485636393
humid,2.6473722709144294,2.013910148979842
humid,6.604139667519045,2.6524766438782668
humid,4.616335319665666,2.3730121114749405
humid,3.458031127623203,2.156754126594965
humid,11.92263597340371,4.09558274586259
humid,24.47214046310077,5.203922029393026
humid,44025.85926686883,3.67433019555994
humid,2.2330325692141626,2.073617762440272
humid,15312.032409311658,2.16138640249275
humid,247815.9068879556,4.623437868833029
humid,77498.05564433102,3.2211214639028976
humid,10.319457303629068,3.818752264740493
humid,9.795994520691313,3.6193144471774072
humid,7141593.757874864,6.692799289389996
humid,2936.812187801816,4.1482447000392
humid,2.444794791022929,0.7653652725913579
humid,4.39928421385713,1.6071593595208569
humid,5.755805044416204,1.3760990123097827
humid,2.956768120428645,1.0559365702496102
humid,2.143951369397402,1.0545141589214908
humid,3.436935320324612,1.1356480490804628
humid,2.8083024941502823,1.4017021607774451
humid,2.2004193855391634,1.150346358170277
humid,1.871203089944192,0.9402720346367804
humid,1.8538816024879172,1.2416081662959555
humid,1.9142032931887565,1.0145797075041814
humid,1.7258855186689863,0.7390002293897286
humid,1.980925521353045,0.906192665216206
humid,2.8642761324358013,0.9257668638658364
humid,13.824330710441474,3.7643625535728087
humid,3.0235732861808926,1.714316571820361
humid,2.057771896356569,1.20772584438697
humid,680357.208811854,2.957024085645267
humid,1.9202693729263776,1.5477919153754034
humid,1.4304078582964974,1.250521252096084
humid,1.6164270021806788,1.4903639189748878
semi_arid,2.365414728396517,1.5308248855212931
semi_arid,1.108455923294662,0.9001235846621682
humid,1.371573967253325,0.9076346604529832
humid,1.4080567089675016,1.1661040150510713
humid,2.1861575120073136,1.6202377190147854
semi_arid,1.736484802692528,1.8829207881984935
humid,0.9201096743753272,1.079854080874277
humid,0.6318801297073422,0.7295768140883868
humid,0.7326511736429533,0.6533484324512709
humid,0.9864663019143928,0.9806198450583152
humid,0.6693745223120796,0.5541891070254367
humid,0.6005036290053772,0.4941807024089086
semi_arid,0.4135277287241486,0.3352771759377098
humid,1.5140803691684308,1.214490389944906
semi_arid,0.5468255034193423,0.4698397888261559
humid,1.1918857303813015,1.4997792497378213
humid,1.604720432771038,1.5346975811488843
humid,4.597680084210974,3.089126109424086
humid,2.929693731444921,2.398246793674206
humid,1080079.5278402534,3.064516363343775
humid,3.4689640639214665,1.8003289153751691
humid,5161279.892152519,4.433310442979896
humid,2.5090418089725444,1.4018879458555942
humid,1.7398512940230888,1.1775729397656796
humid,1.9465521236041183,1.470701671220215
humid,1.691917433129539,1.2664670051300115
humid,2.42743841033963,1.030898679440534
humid,1.997839537410384,1.0862457944109742
dry,0.4445416721259075,2.649953052789153
semi_arid,0.4650697608524086,2.534756894263647
semi_arid,11771.571151064249,3.0105565871461226
semi_arid,0.5549498569877023,1.966589368875422
semi_arid,1.2347752608507492,3.086689032525343
dry,11221.841271545196,3.185541043886811
semi_arid,203.09481866216973,3.4751452384992003
humid,1.3571889596415108,1.6253288291728405
humid,1.223738250208069,1.7410419730554465
semi_arid,0.7878926815995143,2.196833426673049
humid,1.9797877862529656,1.6349277073871171
humid,1.820229653418414,1.4765291190907468
humid,2.999937902040941,2.6410020416598483
